"","word","n"
"39084","offered the",26
"39085","officials at",26
"39086","oh gosh",26
"39087","ohio a",26
"39088","ok maybe",26
"39089","okay you",26
"39090","on after",26
"39091","on duty",26
"39092","on foreign",26
"39093","on holiday",26
"39094","on main",26
"39095","on radio",26
"39096","on thanksgiving",26
"39097","on writing",26
"39098","one go",26
"39099","one love",26
"39100","one particular",26
"39101","online to",26
"39102","onto your",26
"39103","opened it",26
"39104","opinion and",26
"39105","or early",26
"39106","or having",26
"39107","or know",26
"39108","or of",26
"39109","or this",26
"39110","organizations and",26
"39111","organizations that",26
"39112","organized and",26
"39113","original and",26
"39114","other books",26
"39115","other we",26
"39116","others for",26
"39117","ounce of",26
"39118","our ability",26
"39119","our challenge",26
"39120","our final",26
"39121","our good",26
"39122","our list",26
"39123","our mission",26
"39124","our nation",26
"39125","our place",26
"39126","our side",26
"39127","our top",26
"39128","out three",26
"39129","out until",26
"39130","out was",26
"39131","outlook for",26
"39132","outs in",26
"39133","overall i",26
"39134","own little",26
"39135","owned a",26
"39136","owners are",26
"39137","pace in",26
"39138","packs of",26
"39139","paint a",26
"39140","pan to",26
"39141","parents i",26
"39142","park a",26
"39143","parking lots",26
"39144","past a",26
"39145","people being",26
"39146","people look",26
"39147","people never",26
"39148","people off",26
"39149","people watching",26
"39150","percent off",26
"39151","person as",26
"39152","person was",26
"39153","phone at",26
"39154","pieces i",26
"39155","pisses me",26
"39156","pizza is",26
"39157","place he",26
"39158","placed a",26
"39159","placed the",26
"39160","plane and",26
"39161","plane to",26
"39162","platform for",26
"39163","playoffs and",26
"39164","plenty to",26
"39165","pls rt",26
"39166","plus side",26
"39167","pm edt",26
"39168","point about",26
"39169","point was",26
"39170","points at",26
"39171","points or",26
"39172","police director",26
"39173","police he",26
"39174","police on",26
"39175","policies that",26
"39176","poor people",26
"39177","pop in",26
"39178","portland area",26
"39179","post was",26
"39180","posted to",26
"39181","potato chips",26
"39182","potential and",26
"39183","poverty and",26
"39184","ppl who",26
"39185","praise the",26
"39186","prayers and",26
"39187","present at",26
"39188","presentation of",26
"39189","presentation on",26
"39190","president bill",26
"39191","pressure from",26
"39192","pretty great",26
"39193","pretty soon",26
"39194","price the",26
"39195","prices have",26
"39196","primary care",26
"39197","problems are",26
"39198","producer of",26
"39199","program but",26
"39200","project on",26
"39201","promise that",26
"39202","promising to",26
"39203","protection agency",26
"39204","provider of",26
"39205","public hearing",26
"39206","pulled off",26
"39207","purple and",26
"39208","pushed for",26
"39209","question how",26
"39210","quickly the",26
"39211","rally in",26
"39212","ray and",26
"39213","read or",26
"39214","realizes that",26
"39215","really fast",26
"39216","really it",26
"39217","really see",26
"39218","reason he",26
"39219","received by",26
"39220","recently as",26
"39221","recommend a",26
"39222","recorded the",26
"39223","reduced the",26
"39224","reduces the",26
"39225","reject the",26
"39226","relationship that",26
"39227","remain at",26
"39228","remember we",26
"39229","reminds us",26
"39230","remove it",26
"39231","reports the",26
"39232","research has",26
"39233","residents are",26
"39234","resource for",26
"39235","restaurant that",26
"39236","returning from",26
"39237","ride and",26
"39238","ridiculous i",26
"39239","riding in",26
"39240","right decision",26
"39241","right foot",26
"39242","risk and",26
"39243","risks of",26
"39244","river is",26
"39245","road was",26
"39246","robert griffin",26
"39247","room she",26
"39248","room we",26
"39249","round i",26
"39250","round picks",26
"39251","rt can",26
"39252","rt congrats",26
"39253","runners on",26
"39254","sad for",26
"39255","said from",26
"39256","said he’s",26
"39257","said oh",26
"39258","said why",26
"39259","sam adams",26
"39260","same reason",26
"39261","sat and",26
"39262","save your",26
"39263","say its",26
"39264","scene from",26
"39265","school football",26
"39266","second game",26
"39267","second is",26
"39268","second the",26
"39269","see also",26
"39270","see those",26
"39271","seen any",26
"39272","seen some",26
"39273","sees a",26
"39274","self proclaimed",26
"39275","sell you",26
"39276","sent them",26
"39277","sequel to",26
"39278","series at",26
"39279","series for",26
"39280","series that",26
"39281","seriously and",26
"39282","serve to",26
"39283","serving a",26
"39284","share what",26
"39285","she be",26
"39286","she couldn't",26
"39287","she hasn't",26
"39288","sherlock holmes",26
"39289","shopping at",26
"39290","short but",26
"39291","short i",26
"39292","should definitely",26
"39293","should pay",26
"39294","since april",26
"39295","since being",26
"39296","site where",26
"39297","sites that",26
"39298","situation the",26
"39299","skillet over",26
"39300","slightly different",26
"39301","so difficult",26
"39302","so full",26
"39303","so god",26
"39304","so hopefully",26
"39305","so keep",26
"39306","so make",26
"39307","so out",26
"39308","so over",26
"39309","solar system",26
"39310","some areas",26
"39311","some one",26
"39312","some sense",26
"39313","someone else’s",26
"39314","something it",26
"39315","sometimes that",26
"39316","song about",26
"39317","songs the",26
"39318","sore throat",26
"39319","sorry it",26
"39320","south to",26
"39321","speak and",26
"39322","speak english",26
"39323","special interests",26
"39324","speed rail",26
"39325","spend all",26
"39326","spent all",26
"39327","spin on",26
"39328","sponsors and",26
"39329","sport and",26
"39330","spring i",26
"39331","stadium and",26
"39332","staff for",26
"39333","state where",26
"39334","statement in",26
"39335","status and",26
"39336","stay healthy",26
"39337","staying with",26
"39338","still good",26
"39339","still needs",26
"39340","stop listening",26
"39341","stopped and",26
"39342","story a",26
"39343","streets in",26
"39344","strikes me",26
"39345","struggle for",26
"39346","student from",26
"39347","submit your",26
"39348","sugar in",26
"39349","sunday with",26
"39350","superintendent of",26
"39351","sure a",26
"39352","sure as",26
"39353","sure you're",26
"39354","surprised and",26
"39355","sweet but",26
"39356","takes up",26
"39357","taking her",26
"39358","taking them",26
"39359","tax revenues",26
"39360","teachers are",26
"39361","teachers in",26
"39362","tell everyone",26
"39363","tell someone",26
"39364","temptation to",26
"39365","term in",26
"39366","test in",26
"39367","texture of",26
"39368","thanks girl",26
"39369","thanks hope",26
"39370","thanks will",26
"39371","that anything",26
"39372","that article",26
"39373","that bring",26
"39374","that dude",26
"39375","that group",26
"39376","that kids",26
"39377","that lasted",26
"39378","that oh",26
"39379","that parents",26
"39380","that plays",26
"39381","that school",26
"39382","that several",26
"39383","that turns",26
"39384","that whatever",26
"39385","that'll be",26
"39386","that's fine",26
"39387","the aid",26
"39388","the angel",26
"39389","the apostle",26
"39390","the apples",26
"39391","the armed",26
"39392","the automaker",26
"39393","the bankruptcy",26
"39394","the battery",26
"39395","the bengals",26
"39396","the bishop",26
"39397","the career",26
"39398","the cathedral",26
"39399","the changing",26
"39400","the chosen",26
"39401","the cincinnati",26
"39402","the cliff",26
"39403","the congregation",26
"39404","the disaster",26
"39405","the dispute",26
"39406","the dreams",26
"39407","the drums",26
"39408","the duo",26
"39409","the enormous",26
"39410","the enterprise",26
"39411","the eve",26
"39412","the eventual",26
"39413","the fault",26
"39414","the fictional",26
"39415","the founding",26
"39416","the fray",26
"39417","the frosting",26
"39418","the gifts",26
"39419","the harry",26
"39420","the holes",26
"39421","the hurricane",26
"39422","the implications",26
"39423","the income",26
"39424","the invitation",26
"39425","the james",26
"39426","the joys",26
"39427","the just",26
"39428","the kinds",26
"39429","the leg",26
"39430","the lies",26
"39431","the lonely",26
"39432","the magnitude",26
"39433","the marine",26
"39434","the mic",26
"39435","the mls",26
"39436","the mustangs",26
"39437","the needle",26
"39438","the nuts",26
"39439","the ny",26
"39440","the nyc",26
"39441","the overwhelming",26
"39442","the padres",26
"39443","the palm",26
"39444","the pitcher",26
"39445","the playing",26
"39446","the plea",26
"39447","the plunge",26
"39448","the poetry",26
"39449","the prince",26
"39450","the principle",26
"39451","the punch",26
"39452","the rail",26
"39453","the ratings",26
"39454","the realization",26
"39455","the recommendations",26
"39456","the revenue",26
"39457","the runners",26
"39458","the scriptures",26
"39459","the share",26
"39460","the standards",26
"39461","the statute",26
"39462","the steel",26
"39463","the stop",26
"39464","the terrorist",26
"39465","the toll",26
"39466","the vice",26
"39467","the waiter",26
"39468","the weird",26
"39469","the welcome",26
"39470","the who",26
"39471","the woman's",26
"39472","their back",26
"39473","their car",26
"39474","their current",26
"39475","their experiences",26
"39476","their most",26
"39477","their side",26
"39478","their three",26
"39479","them lol",26
"39480","there there",26
"39481","there today",26
"39482","there wasn’t",26
"39483","these other",26
"39484","they choose",26
"39485","they decide",26
"39486","they dont",26
"39487","they eat",26
"39488","they first",26
"39489","they hate",26
"39490","they provide",26
"39491","they set",26
"39492","they tend",26
"39493","they walked",26
"39494","they worked",26
"39495","they're really",26
"39496","they've done",26
"39497","thing from",26
"39498","thing she",26
"39499","think his",26
"39500","think i'd",26
"39501","think not",26
"39502","think our",26
"39503","thinking is",26
"39504","third straight",26
"39505","this about",26
"39506","this an",26
"39507","this cold",26
"39508","this entire",26
"39509","this go",26
"39510","this how",26
"39511","this law",26
"39512","this message",26
"39513","this monday",26
"39514","this more",26
"39515","this period",26
"39516","this road",26
"39517","this sucks",26
"39518","this there",26
"39519","this works",26
"39520","those to",26
"39521","though lol",26
"39522","though no",26
"39523","thought in",26
"39524","threw up",26
"39525","through these",26
"39526","time away",26
"39527","time how",26
"39528","time tonight",26
"39529","times if",26
"39530","to because",26
"39531","to coat",26
"39532","to delete",26
"39533","to everybody",26
"39534","to finding",26
"39535","to harm",26
"39536","to mount",26
"39537","to nashville",26
"39538","to prom",26
"39539","to quickly",26
"39540","to realise",26
"39541","to rip",26
"39542","to safety",26
"39543","to sample",26
"39544","to soften",26
"39545","to steer",26
"39546","to stress",26
"39547","to tonight",26
"39548","to transport",26
"39549","to voice",26
"39550","today not",26
"39551","toll on",26
"39552","tomorrow if",26
"39553","tonight will",26
"39554","too cool",26
"39555","too haha",26
"39556","too how",26
"39557","too seriously",26
"39558","took two",26
"39559","tools for",26
"39560","top for",26
"39561","top priority",26
"39562","touchdown pass",26
"39563","touches on",26
"39564","tournament in",26
"39565","town on",26
"39566","track the",26
"39567","trained in",26
"39568","transported to",26
"39569","travel in",26
"39570","treated as",26
"39571","treated for",26
"39572","trees are",26
"39573","trees in",26
"39574","truck driver",26
"39575","true you",26
"39576","truly is",26
"39577","try one",26
"39578","try some",26
"39579","tuesday but",26
"39580","tuesday evening",26
"39581","turn away",26
"39582","turn my",26
"39583","tweets to",26
"39584","twitter now",26
"39585","twitter the",26
"39586","two boys",26
"39587","two groups",26
"39588","u.s navy",26
"39589","um no",26
"39590","union county",26
"39591","university city",26
"39592","unless you're",26
"39593","up n",26
"39594","up north",26
"39595","up well",26
"39596","up without",26
"39597","ur so",26
"39598","ur the",26
"39599","us both",26
"39600","us rt",26
"39601","using our",26
"39602","vegas for",26
"39603","venue for",26
"39604","very dangerous",26
"39605","vice chairman",26
"39606","video shoot",26
"39607","visit from",26
"39608","vitamin c",26
"39609","w u",26
"39610","waits for",26
"39611","wanna play",26
"39612","was approved",26
"39613","was basically",26
"39614","was beyond",26
"39615","was exactly",26
"39616","was filed",26
"39617","was formed",26
"39618","was third",26
"39619","was true",26
"39620","waters of",26
"39621","way by",26
"39622","way off",26
"39623","we at",26
"39624","we ate",26
"39625","we'll do",26
"39626","we’re in",26
"39627","website the",26
"39628","weekend rt",26
"39629","weekend this",26
"39630","weekend when",26
"39631","weekend you",26
"39632","well aware",26
"39633","well that’s",26
"39634","well yes",26
"39635","went ahead",26
"39636","went wrong",26
"39637","were better",26
"39638","were injured",26
"39639","were much",26
"39640","were willing",26
"39641","what of",26
"39642","what seems",26
"39643","whatever he",26
"39644","whatever that",26
"39645","when girls",26
"39646","when two",26
"39647","where he's",26
"39648","where their",26
"39649","which just",26
"39650","which only",26
"39651","while other",26
"39652","while we're",26
"39653","whilst the",26
"39654","who first",26
"39655","who haven't",26
"39656","who hit",26
"39657","who only",26
"39658","who participated",26
"39659","who then",26
"39660","whole body",26
"39661","will announce",26
"39662","will cause",26
"39663","will eat",26
"39664","will replace",26
"39665","will result",26
"39666","will seek",26
"39667","will think",26
"39668","win some",26
"39669","wine or",26
"39670","wit the",26
"39671","with beer",26
"39672","with mental",26
"39673","with plastic",26
"39674","with seven",26
"39675","with state",26
"39676","with ur",26
"39677","with wine",26
"39678","within an",26
"39679","within two",26
"39680","without that",26
"39681","woman at",26
"39682","woman on",26
"39683","women as",26
"39684","won and",26
"39685","wondered what",26
"39686","word but",26
"39687","word from",26
"39688","working so",26
"39689","world famous",26
"39690","would include",26
"39691","would later",26
"39692","would raise",26
"39693","would save",26
"39694","would stay",26
"39695","would then",26
"39696","wouldn’t want",26
"39697","wow my",26
"39698","wow you",26
"39699","write more",26
"39700","writer who",26
"39701","wrong about",26
"39702","wrong it",26
"39703","x i",26
"39704","yankee stadium",26
"39705","yard and",26
"39706","yards of",26
"39707","year career",26
"39708","year too",26
"39709","year while",26
"39710","yet a",26
"39711","you best",26
"39712","you count",26
"39713","you cry",26
"39714","you either",26
"39715","you everything",26
"39716","you i'll",26
"39717","you reach",26
"39718","you seriously",26
"39719","you shall",26
"39720","you text",26
"39721","you which",26
"39722","your books",26
"39723","your energy",26
"39724","your legs",26
"39725","your my",26
"39726","your other",26
"39727","your thing",26
"39728","your visit",26
"39729","yourself if",26
"39730","youtube channel",26
"39731","a background",25
"39732","a baltimore",25
"39733","a batch",25
"39734","a bathroom",25
"39735","a bbq",25
"39736","a bet",25
"39737","a bummer",25
"39738","a cash",25
"39739","a center",25
"39740","a ceremony",25
"39741","a challenging",25
"39742","a coat",25
"39743","a colleague",25
"39744","a compliment",25
"39745","a contemporary",25
"39746","a dad",25
"39747","a dear",25
"39748","a department",25
"39749","a gap",25
"39750","a greek",25
"39751","a heartbeat",25
"39752","a heck",25
"39753","a in",25
"39754","a jump",25
"39755","a liberal",25
"39756","a lump",25
"39757","a married",25
"39758","a method",25
"39759","a mighty",25
"39760","a necessary",25
"39761","a necessity",25
"39762","a neutral",25
"39763","a on",25
"39764","a participant",25
"39765","a piano",25
"39766","a pickup",25
"39767","a premium",25
"39768","a prescription",25
"39769","a production",25
"39770","a scholarship",25
"39771","a scientist",25
"39772","a sec",25
"39773","a shitty",25
"39774","a signed",25
"39775","a sixth",25
"39776","a so",25
"39777","a virgin",25
"39778","a walking",25
"39779","a wealthy",25
"39780","a wheelchair",25
"39781","about he",25
"39782","accepted to",25
"39783","acquired by",25
"39784","actually make",25
"39785","actually my",25
"39786","address is",25
"39787","advisory committee",25
"39788","affordable care",25
"39789","after and",25
"39790","after graduation",25
"39791","after lunch",25
"39792","after police",25
"39793","after which",25
"39794","against one",25
"39795","age group",25
"39796","ago for",25
"39797","agreed and",25
"39798","air for",25
"39799","album the",25
"39800","alex is",25
"39801","all across",25
"39802","all alone",25
"39803","all forms",25
"39804","all gone",25
"39805","all hope",25
"39806","almost at",25
"39807","also part",25
"39808","also received",25
"39809","also won",25
"39810","alter ego",25
"39811","always come",25
"39812","always take",25
"39813","always want",25
"39814","am but",25
"39815","am totally",25
"39816","amazing what",25
"39817","an advantage",25
"39818","an asset",25
"39819","an authentic",25
"39820","an ear",25
"39821","an elevator",25
"39822","an expression",25
"39823","an ipod",25
"39824","an irish",25
"39825","an oscar",25
"39826","an outfit",25
"39827","an unfair",25
"39828","an unlikely",25
"39829","and action",25
"39830","and answer",25
"39831","and attention",25
"39832","and baking",25
"39833","and baseball",25
"39834","and closed",25
"39835","and commitment",25
"39836","and communities",25
"39837","and dropped",25
"39838","and earn",25
"39839","and easily",25
"39840","and entertaining",25
"39841","and everyday",25
"39842","and golden",25
"39843","and hitting",25
"39844","and improving",25
"39845","and increased",25
"39846","and jason",25
"39847","and justin",25
"39848","and kate",25
"39849","and likely",25
"39850","and lose",25
"39851","and movies",25
"39852","and neck",25
"39853","and paint",25
"39854","and pizza",25
"39855","and preserve",25
"39856","and promised",25
"39857","and reach",25
"39858","and related",25
"39859","and rescue",25
"39860","and sad",25
"39861","and sam",25
"39862","and setting",25
"39863","and smith",25
"39864","and sounds",25
"39865","and student",25
"39866","and successful",25
"39867","and supporting",25
"39868","and text",25
"39869","and turning",25
"39870","and violence",25
"39871","animals are",25
"39872","any place",25
"39873","any problems",25
"39874","anymore the",25
"39875","anytime i",25
"39876","ap the",25
"39877","apple cider",25
"39878","architecture and",25
"39879","are considering",25
"39880","are fun",25
"39881","are happening",25
"39882","are limited",25
"39883","are losing",25
"39884","are stuck",25
"39885","are tough",25
"39886","are unable",25
"39887","are writing",25
"39888","are ya",25
"39889","aren't they",25
"39890","arrest of",25
"39891","artist in",25
"39892","as anyone",25
"39893","as mayor",25
"39894","as on",25
"39895","as you're",25
"39896","ashamed to",25
"39897","asia and",25
"39898","asking you",25
"39899","assets and",25
"39900","association for",25
"39901","association with",25
"39902","at cleveland",25
"39903","at s",25
"39904","at three",25
"39905","at various",25
"39906","attention i",25
"39907","attorney general’s",25
"39908","attorney said",25
"39909","authorities are",25
"39910","average and",25
"39911","awake at",25
"39912","award at",25
"39913","away if",25
"39914","away it",25
"39915","away they",25
"39916","awesome as",25
"39917","awesome my",25
"39918","awesome we",25
"39919","baby you",25
"39920","back i'm",25
"39921","back some",25
"39922","bar of",25
"39923","be awarded",25
"39924","be chosen",25
"39925","be late",25
"39926","be leaving",25
"39927","be limited",25
"39928","be new",25
"39929","be paying",25
"39930","be scared",25
"39931","be sleeping",25
"39932","be solved",25
"39933","be trusted",25
"39934","bed the",25
"39935","bed to",25
"39936","bedroom and",25
"39937","been caught",25
"39938","been chosen",25
"39939","been hard",25
"39940","been seeing",25
"39941","been sent",25
"39942","beer on",25
"39943","before us",25
"39944","behind closed",25
"39945","being alone",25
"39946","believe a",25
"39947","believes it",25
"39948","below for",25
"39949","benefit for",25
"39950","best advice",25
"39951","best movie",25
"39952","best players",25
"39953","best seller",25
"39954","best that",25
"39955","best when",25
"39956","between and",25
"39957","between you",25
"39958","bible study",25
"39959","big in",25
"39960","big money",25
"39961","big to",25
"39962","biggest problem",25
"39963","birds and",25
"39964","birthday in",25
"39965","black leather",25
"39966","blog as",25
"39967","blog has",25
"39968","blood sugar",25
"39969","blown up",25
"39970","boiling water",25
"39971","booth and",25
"39972","brand name",25
"39973","breaking down",25
"39974","bring about",25
"39975","bring him",25
"39976","bring this",25
"39977","brings out",25
"39978","broke into",25
"39979","brought on",25
"39980","budget in",25
"39981","building for",25
"39982","building up",25
"39983","business or",25
"39984","but certainly",25
"39985","but come",25
"39986","but few",25
"39987","but get",25
"39988","but soon",25
"39989","by email",25
"39990","by mid",25
"39991","by or",25
"39992","by step",25
"39993","c and",25
"39994","california is",25
"39995","call center",25
"39996","call now",25
"39997","called you",25
"39998","calls a",25
"39999","came off",25
"40000","campaign the",25
"40001","can access",25
"40002","can act",25
"40003","can but",25
"40004","can dm",25
"40005","can enter",25
"40006","can trust",25
"40007","can't change",25
"40008","can't give",25
"40009","can't use",25
"40010","can't we",25
"40011","can't you",25
"40012","can’t do",25
"40013","candidate and",25
"40014","candidate in",25
"40015","captures the",25
"40016","car but",25
"40017","care but",25
"40018","career the",25
"40019","category of",25
"40020","cause to",25
"40021","center has",25
"40022","century the",25
"40023","challenge in",25
"40024","challenged the",25
"40025","challenges of",25
"40026","champion of",25
"40027","chance you",25
"40028","characteristics of",25
"40029","characters that",25
"40030","charges were",25
"40031","chasing the",25
"40032","children or",25
"40033","children we",25
"40034","china is",25
"40035","chip cookies",25
"40036","choice the",25
"40037","choices are",25
"40038","choices that",25
"40039","cities of",25
"40040","city attorney",25
"40041","city employees",25
"40042","civic center",25
"40043","civil unions",25
"40044","claiming to",25
"40045","class aaa",25
"40046","class act",25
"40047","classes for",25
"40048","classic rock",25
"40049","classified as",25
"40050","clouds and",25
"40051","co and",25
"40052","co author",25
"40053","coach tom",25
"40054","collection the",25
"40055","college the",25
"40056","come forward",25
"40057","come watch",25
"40058","comes after",25
"40059","comes along",25
"40060","comfort in",25
"40061","comic con",25
"40062","coming year",25
"40063","command of",25
"40064","committee said",25
"40065","commonly used",25
"40066","company as",25
"40067","complaints from",25
"40068","condition that",25
"40069","conference room",25
"40070","confidence is",25
"40071","confidence that",25
"40072","connect the",25
"40073","considered for",25
"40074","considering a",25
"40075","consumer spending",25
"40076","consumers to",25
"40077","contain the",25
"40078","contract in",25
"40079","convenience store",25
"40080","cool kids",25
"40081","cool that",25
"40082","cost and",25
"40083","cost cutting",25
"40084","costs in",25
"40085","could the",25
"40086","could to",25
"40087","couldn't even",25
"40088","council will",25
"40089","country will",25
"40090","county schools",25
"40091","couple who",25
"40092","courage and",25
"40093","course was",25
"40094","cover letter",25
"40095","creation and",25
"40096","credit and",25
"40097","crime in",25
"40098","crying out",25
"40099","cultural and",25
"40100","cut up",25
"40101","cuz i'm",25
"40102","d just",25
"40103","d what",25
"40104","damn time",25
"40105","dance in",25
"40106","dangerous and",25
"40107","data center",25
"40108","david stern",25
"40109","day about",25
"40110","day new",25
"40111","days were",25
"40112","deal but",25
"40113","death as",25
"40114","debate in",25
"40115","debut album",25
"40116","decisions to",25
"40117","defending the",25
"40118","definitely an",25
"40119","definitely worth",25
"40120","degree and",25
"40121","delay in",25
"40122","deny the",25
"40123","design i",25
"40124","devotion to",25
"40125","did there",25
"40126","die if",25
"40127","died last",25
"40128","died the",25
"40129","diet coke",25
"40130","different for",25
"40131","different kinds",25
"40132","dig it",25
"40133","directed to",25
"40134","disease control",25
"40135","distance of",25
"40136","do hope",25
"40137","do its",25
"40138","doctor to",25
"40139","does make",25
"40140","doesn’t know",25
"40141","dogs in",25
"40142","doing an",25
"40143","don't buy",25
"40144","don't listen",25
"40145","don't wear",25
"40146","done my",25
"40147","down syndrome",25
"40148","drawn from",25
"40149","dress for",25
"40150","drink at",25
"40151","drop of",25
"40152","dropped by",25
"40153","drunk on",25
"40154","due date",25
"40155","during your",25
"40156","earned his",25
"40157","economy in",25
"40158","edited by",25
"40159","education commissioner",25
"40160","effort in",25
"40161","eggs are",25
"40162","eggs in",25
"40163","else on",25
"40164","else we",25
"40165","else who",25
"40166","emerge from",25
"40167","end as",25
"40168","end there",25
"40169","ending up",25
"40170","enforcement officials",25
"40171","enjoyed this",25
"40172","enough with",25
"40173","enrolled in",25
"40174","enter to",25
"40175","essential for",25
"40176","euro zone",25
"40177","even bother",25
"40178","even like",25
"40179","evening in",25
"40180","event which",25
"40181","events are",25
"40182","ever notice",25
"40183","exists in",25
"40184","experts and",25
"40185","explains why",25
"40186","explosion of",25
"40187","extending the",25
"40188","eye candy",25
"40189","eye opening",25
"40190","f ck",25
"40191","facility that",25
"40192","falling behind",25
"40193","families are",25
"40194","family at",25
"40195","fans on",25
"40196","fantasy football",25
"40197","far back",25
"40198","father had",25
"40199","fears of",25
"40200","feature film",25
"40201","feeling is",25
"40202","feels the",25
"40203","fell apart",25
"40204","field but",25
"40205","field trip",25
"40206","fifteen years",25
"40207","finally came",25
"40208","finally finished",25
"40209","financial support",25
"40210","find on",25
"40211","finished off",25
"40212","finished second",25
"40213","first come",25
"40214","first heard",25
"40215","first official",25
"40216","first set",25
"40217","first tweet",25
"40218","fish fry",25
"40219","flat and",25
"40220","flight attendant",25
"40221","floor the",25
"40222","flowers are",25
"40223","foie gras",25
"40224","fold in",25
"40225","folks i",25
"40226","follow in",25
"40227","follow that",25
"40228","following are",25
"40229","follows back",25
"40230","for businesses",25
"40231","for john",25
"40232","for learning",25
"40233","for living",25
"40234","for looking",25
"40235","for opening",25
"40236","for safety",25
"40237","for specific",25
"40238","for tv",25
"40239","for well",25
"40240","for with",25
"40241","forest grove",25
"40242","forget you",25
"40243","former new",25
"40244","four other",25
"40245","four runs",25
"40246","fox sports",25
"40247","free or",25
"40248","friday he",25
"40249","friend you",25
"40250","friends this",25
"40251","from but",25
"40252","from la",25
"40253","from taking",25
"40254","from working",25
"40255","full body",25
"40256","fun fun",25
"40257","fun i'm",25
"40258","fun thanks",25
"40259","fund to",25
"40260","game which",25
"40261","games by",25
"40262","gang of",25
"40263","garage sale",25
"40264","gas in",25
"40265","gave my",25
"40266","generated by",25
"40267","george and",25
"40268","getting her",25
"40269","getting our",25
"40270","getting their",25
"40271","girl a",25
"40272","girl the",25
"40273","give people",25
"40274","given away",25
"40275","go because",25
"40276","go here",25
"40277","go somewhere",25
"40278","goal the",25
"40279","god i'm",25
"40280","goes away",25
"40281","going by",25
"40282","going fast",25
"40283","gone down",25
"40284","gonna die",25
"40285","good money",25
"40286","good quality",25
"40287","google it",25
"40288","google search",25
"40289","grabbed my",25
"40290","granted the",25
"40291","great advice",25
"40292","great team",25
"40293","ground beef",25
"40294","grounds of",25
"40295","guest list",25
"40296","guide and",25
"40297","guns and",25
"40298","guy from",25
"40299","guy the",25
"40300","gym and",25
"40301","habitat for",25
"40302","had as",25
"40303","had reached",25
"40304","haha if",25
"40305","hahah i",25
"40306","halftime show",25
"40307","handed down",25
"40308","handle this",25
"40309","happening i",25
"40310","hardest part",25
"40311","hardly ever",25
"40312","harris said",25
"40313","has denied",25
"40314","has on",25
"40315","has over",25
"40316","has picked",25
"40317","has proved",25
"40318","has repeatedly",25
"40319","have arrived",25
"40320","have probably",25
"40321","have school",25
"40322","haven’t had",25
"40323","having their",25
"40324","he agreed",25
"40325","he considers",25
"40326","he earned",25
"40327","he fell",25
"40328","he holds",25
"40329","he pleaded",25
"40330","he raised",25
"40331","he s",25
"40332","he stayed",25
"40333","he the",25
"40334","head but",25
"40335","headed down",25
"40336","health officials",25
"40337","health the",25
"40338","heart was",25
"40339","heat up",25
"40340","heavy duty",25
"40341","held accountable",25
"40342","held her",25
"40343","hell are",25
"40344","help pay",25
"40345","helped us",25
"40346","helpful and",25
"40347","her age",25
"40348","her father's",25
"40349","her my",25
"40350","her office",25
"40351","her then",25
"40352","her website",25
"40353","hey my",25
"40354","high with",25
"40355","hill the",25
"40356","him right",25
"40357","himself but",25
"40358","hired as",25
"40359","hired to",25
"40360","hiring a",25
"40361","his comments",25
"40362","his defense",25
"40363","his one",25
"40364","hold for",25
"40365","hold out",25
"40366","home improvement",25
"40367","home you",25
"40368","homeless people",25
"40369","hour for",25
"40370","hours but",25
"40371","hours per",25
"40372","how best",25
"40373","how these",25
"40374","huffington post",25
"40375","hurt my",25
"40376","i done",25
"40377","i hardly",25
"40378","i hurt",25
"40379","i imagined",25
"40380","i long",25
"40381","i opted",25
"40382","i pull",25
"40383","i sign",25
"40384","i teach",25
"40385","i'm bout",25
"40386","i'm curious",25
"40387","i'm gone",25
"40388","i'm okay",25
"40389","i've met",25
"40390","i've not",25
"40391","i've written",25
"40392","i’d love",25
"40393","i’m getting",25
"40394","i’m thinking",25
"40395","icing on",25
"40396","idea in",25
"40397","idea it",25
"40398","idea why",25
"40399","identified by",25
"40400","if im",25
"40401","if she's",25
"40402","if they’re",25
"40403","images that",25
"40404","imagine it",25
"40405","important i",25
"40406","impose a",25
"40407","in akron",25
"40408","in cali",25
"40409","in car",25
"40410","in jeopardy",25
"40411","in jerusalem",25
"40412","in maine",25
"40413","in poverty",25
"40414","in quite",25
"40415","in springfield",25
"40416","in tax",25
"40417","in taxes",25
"40418","in then",25
"40419","in tow",25
"40420","in well",25
"40421","include an",25
"40422","including me",25
"40423","income from",25
"40424","increase your",25
"40425","indeed i",25
"40426","indicator of",25
"40427","influence in",25
"40428","information was",25
"40429","initiative to",25
"40430","ink and",25
"40431","inning and",25
"40432","interacting with",25
"40433","interaction with",25
"40434","interest the",25
"40435","interesting the",25
"40436","interview that",25
"40437","into them",25
"40438","introduce the",25
"40439","introduced a",25
"40440","investigation is",25
"40441","investment and",25
"40442","involved a",25
"40443","is against",25
"40444","is driving",25
"40445","is insane",25
"40446","is once",25
"40447","is plenty",25
"40448","is projected",25
"40449","is sad",25
"40450","is seeing",25
"40451","is served",25
"40452","is therefore",25
"40453","island is",25
"40454","isn't so",25
"40455","issues like",25
"40456","it couldn't",25
"40457","it doesnt",25
"40458","it involves",25
"40459","it p",25
"40460","it read",25
"40461","it wasnt",25
"40462","it worth",25
"40463","it's easier",25
"40464","it's how",25
"40465","it's made",25
"40466","it's monday",25
"40467","item b",25
